host_neighbourhood,host_identity_verified,neighbourhood,city,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
Downtown,t,San Jose,San Jose,95112,Entire guest suite,Entire home/apt,1,1,1,1,0,0,16,196,46,4.65,4.76,4.84,4.95,5,4.71,4.52
Santa Clara,t,Santa Clara,Santa Clara,95051,Private room in home,Private room,2,1,1,1,25,55,85,264,60,5,5,5,5,5,4.91,4.97
Alum Rock,t,San Jose,San Jose,95127,Entire home,Entire home/apt,10,1,4,5,20,50,80,340,97,4.61,4.71,4.65,4.77,4.85,4.79,4.71
Willow Glen,t,San Jose,San Jose,95124,Private room in home,Private room,1,1,1,1,9,39,68,68,34,4.91,4.91,4.79,5,5,4.91,4.94
Santa Clara,t,Santa Clara,Santa Clara,95051,Private room in home,Private room,2,1,1,1,0,0,0,87,45,4.98,5,4.98,5,5,4.95,4.93
Los Gatos,f,Los Gatos,Los Gatos,95032,Entire rental unit,Entire home/apt,2,1,1,2,0,0,27,302,4,5,5,5,4.75,5,5,5
San Jose,t,Los Gatos,San Jose,95032,Entire guest suite,Entire home/apt,4,1,2,2,0,0,0,44,2,5,5,5,5,5,5,5
Burbank/Del Monte,f,San Jose,Windsor Locks,95128,Entire bungalow,Entire home/apt,6,1,2,3,23,51,81,171,209,4.79,4.92,4.85,4.95,4.9,4.83,4.76
Palo Alto,f,Palo Alto,Palo Alto,94301,Entire home,Entire home/apt,4,1,2,3,0,27,57,326,60,4.14,4.53,4.21,4.72,4.45,4.98,4.28
Palo Alto,t,Palo Alto,Palo Alto,94301,Private room in home,Private room,2,1,1,1,0,0,0,0,151,4.92,4.96,4.96,4.9,4.93,4.89,4.85
Santa Clara,t,San Jose,San Jose,95051,Entire guesthouse,Entire home/apt,4,1,2,2,10,35,65,155,98,4.97,4.96,4.9,5,4.99,4.98,4.88
Willow Glen,t,San Jose,San Jose,95125,Entire guesthouse,Entire home/apt,2,1,1,1,8,32,45,45,501,4.96,4.97,4.98,4.98,4.98,4.94,4.92
Willow Glen,t,San Jose,San Jose,95124,Private room in home,Private room,1,1,1,1,12,13,14,14,24,4.88,4.79,4.71,5,5,5,4.71
Downtown,t,San Jose,San Jose,95112,Private room in home,Private room,2,1,1,1,15,45,75,165,172,4.91,4.91,4.87,4.98,4.96,4.96,4.86
Sunnyvale,t,San Francisco,San Francisco,95051,Entire home,Entire home/apt,6,1,3,3,24,54,84,359,11,4.73,4.82,4.45,5,5,4.82,4.18
West Valley,t,Saratoga,Saratoga,95128,Entire condo,Entire home/apt,4,1,1,2,9,39,61,151,114,4.73,4.77,4.68,4.58,4.74,4.96,4.61
San Jose,f,Santa Clara,San Jose,95053,Entire rental unit,Entire home/apt,2,1,1,1,0,0,12,102,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
South San Jose,t,San Jose,United States,95111,Private room in home,Private room,1,1,1,1,0,0,1,276,6,5,5,4.8,5,5,4.8,5
Santa Clara,f,Cupertino,Cupertino,95051,Private room in home,Private room,1,1,1,1,0,0,0,89,11,4.27,4.55,4.45,4.82,4.45,5,4.45
Campbell,t,Palo Alto,Palo Alto,94036,Entire bungalow,Entire home/apt,2,1,1,1,3,29,45,135,259,4.59,4.71,4.73,4.83,4.83,4.93,4.58
Santa Clara,t,Santa Clara,California,95054,Entire home,Entire home/apt,7,1,4,6,21,40,70,345,59,4.78,4.88,4.86,5,5,4.84,4.74
Santa Clara,t,Santa Clara,Santa Clara,95054,Shared room in home,Shared room,1,1,1,1,0,0,0,261,24,4.88,4.88,4.88,4.95,4.92,4.86,4.95
Santa Clara,f,Cupertino,Cupertino,95051,Private room in home,Private room,1,1,1,1,0,0,0,0,9,5,4.89,4.89,5,5,4.89,4.89
Sunnyvale,t,Sunnyvale,Sunnyvale,94087,Private room in home,Private room,2,1,1,1,23,53,83,358,152,4.96,4.95,4.96,4.91,4.93,4.96,4.94
Santa Clara,t,Santa Clara,Santa Clara,95054,Shared room in home,Shared room,1,1,1,1,0,0,0,242,20,4.8,4.63,4.9,4.9,4.9,4.85,4.7
Santa Clara,t,Santa Clara,Santa Clara,95054,Shared room in home,Shared room,1,1,1,1,0,10,40,315,62,4.89,4.85,4.85,4.92,4.97,4.81,4.79
Santa Clara,t,Santa Clara,Santa Clara,95054,Shared room in home,Shared room,1,1,1,1,0,0,0,272,42,4.74,4.79,4.81,4.88,4.88,4.83,4.71
Santa Clara,t,Santa Clara,Santa Clara,95054,Shared room in home,Shared room,1,1,1,1,2,28,58,333,45,4.69,4.73,4.67,4.84,4.87,4.7,4.52
Santa Clara,t,Santa Clara,Santa Clara,95054,Shared room in home,Shared room,1,1,1,1,0,0,8,283,29,4.79,4.97,4.97,4.9,4.9,4.9,4.66
Santa Clara,t,Santa Clara,Santa Clara,95054,Shared room in home,Shared room,1,1,1,1,30,60,90,365,30,4.6,4.7,4.63,4.9,4.86,4.76,4.52
Santa Clara,t,Santa Clara,Santa Clara,95054,Shared room in home,Shared room,1,1,1,1,29,59,89,364,29,5,4.93,4.93,5,5,4.82,4.86
Santa Clara,t,Santa Clara,Santa Clara,95054,Shared room in home,Shared room,1,1,1,1,28,58,88,363,24,4.88,4.92,4.88,4.96,4.92,4.92,4.67
Santa Clara,t,Santa Clara,Santa Clara,95054,Shared room in home,Shared room,1,1,1,1,30,60,90,365,16,4.88,4.93,4.88,4.93,4.93,5,4.8
Santa Clara,t,Santa Clara,Santa Clara,95054,Shared room in home,Shared room,1,1,1,1,30,60,90,365,22,4.86,4.77,4.64,4.95,4.95,4.77,4.64
Shasta/Hanchett Park,t,San Jose,San Jose,95126,Private room in home,Private room,1,1,1,2,0,0,0,0,235,4.59,4.73,4.56,4.88,4.9,4.64,4.71
Palo Alto,t,Palo Alto,Palo Alto,94301,Entire rental unit,Entire home/apt,2,1,1,1,19,49,79,169,53,4.68,4.72,4.64,4.79,4.83,4.98,4.43
Cupertino,t,Cupertino,Cupertino,95014,Private room in home,Private room,1,1,1,1,0,0,27,116,19,5,4.95,4.89,5,5,4.95,4.95
Sunnyvale,t,San Francisco,San Francisco,94086,Entire home,Entire home/apt,6,1,3,3,20,50,80,355,10,4.4,4.5,4.3,4.6,4.6,4.3,4.1
Los Altos,f,Los Altos,Los Altos,94024,Private room in home,Private room,1,1,1,1,0,0,0,0,1,5,5,5,5,5,5,5
Sunnyvale,t,Sunnyvale,Sunnyvale,94087,Entire guest suite,Entire home/apt,2,1,1,1,22,52,82,172,147,4.99,4.99,4.99,5,5,4.94,4.83
Shasta/Hanchett Park,t,San Jose,San Jose,95126,Entire guesthouse,Entire home/apt,2,1,1,1,16,32,55,330,234,4.97,4.97,4.96,4.99,4.97,4.96,4.91
West Valley,t,San Jose,West Valley,95117,Private room in townhouse,Private room,1,1,1,1,19,49,78,78,6,4.5,4,5,5,5,4.33,4.5
Downtown,t,San Jose,San Jose,95112,Private room in home,Private room,2,1,1,1,30,60,90,180,129,4.88,4.92,4.94,4.98,4.91,4.94,4.87
West Valley,t,San Jose,San Jose,95130,Entire home,Entire home/apt,4,1,1,1,3,3,3,90,208,4.92,4.97,4.87,4.95,4.95,4.95,4.93
Los Altos,f,San Francisco,San Francisco,94024,Entire rental unit,Entire home/apt,4,1,2,3,0,0,0,0,24,4.96,4.88,4.96,5,5,5,4.91
Palo Alto,t,Palo Alto,Palo Alto,94301,Entire rental unit,Entire home/apt,3,1,1,2,8,27,53,143,79,4.84,4.96,4.8,4.95,4.99,4.99,4.71
Morgan Hill,t,Morgan Hill,Morgan Hill,95037,Camper/RV,Entire home/apt,7,1,1,2,5,5,22,297,104,4.63,4.79,4.63,4.87,4.7,4.93,4.52
Santa Clara,t,Santa Clara,Santa Clara,95050,Entire home,Entire home/apt,6,1,2,4,16,45,67,104,70,4.81,4.9,4.43,4.91,4.96,4.93,4.84
Gilroy,t,Gilroy,Gilroy,95020,Private room in home,Private room,3,1,1,1,4,8,38,83,199,4.95,4.97,4.98,4.99,4.98,4.91,4.94
Palo Alto,t,Palo Alto,Palo Alto,94306,Private room in home,Private room,2,1,1,1,19,45,75,164,16,4.75,4.81,5,4.94,4.88,4.88,4.75
Downtown,t,San Jose,San Jose,95112,Private room in home,Private room,4,1,1,2,29,59,89,179,182,4.8,4.87,4.86,4.94,4.89,4.87,4.8
Campbell,f,Campbell,Campbell,95008,Entire guest suite,Entire home/apt,2,1,1,1,1,24,53,53,211,4.77,4.81,4.8,4.93,4.95,4.88,4.74
Rose Garden,f,San Jose,San Jose,95126,Entire guest suite,Entire home/apt,2,1,1,1,27,57,86,86,31,4.8,4.9,4.87,5,5,5,4.73
Downtown,t,San Jose,San Jose,95112,Private room in home,Private room,2,1,1,1,29,59,89,178,171,4.89,4.94,4.89,4.97,4.9,4.89,4.87
Saratoga,t,Saratoga,Saratoga,95070,Private room in home,Private room,2,1,1,1,0,0,0,0,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
West Valley,t,San Jose,San Jose,95129,Private room in home,Private room,4,1,2,3,0,17,34,194,7,5,5,5,5,5,5,5
Cambrian/Pioneer,t,San Jose,San Jose,95124,Private room in home,Private room,2,1,1,2,0,0,0,0,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Rose Garden,t,San Jose,San Jose,94040,Entire condo,Entire home/apt,6,1,1,1,3,33,63,338,3,5,5,5,4.33,5,5,5
Burbank/Del Monte,t,California,California,95128,Entire guest suite,Entire home/apt,1,1,1,1,0,20,50,325,5,5,5,5,5,5,4.75,5
Downtown,t,San Jose,San Jose,95112,Private room in home,Private room,2,1,1,1,25,55,85,175,156,4.93,4.97,4.9,4.96,4.92,4.92,4.87
Los Gatos,t,Los Gatos,Los Gatos,95033,Entire guesthouse,Entire home/apt,2,1,1,1,30,60,90,179,521,4.81,4.87,4.86,4.89,4.89,4.9,4.71
Los Altos Hills,t,Palo Alto,Palo Alto,94022,Entire home,Entire home/apt,2,1,2,2,6,6,23,112,95,4.89,4.94,4.88,4.95,4.95,4.84,4.82
Mountain View,t,Mountain View,Mountain View,94041,Private room in guest suite,Private room,1,1,1,1,7,22,51,51,125,4.88,4.97,4.92,4.95,4.98,4.9,4.76
Los Gatos,t,Los Gatos,Los Gatos,95033,Entire cabin,Entire home/apt,2,1,1,2,14,43,59,326,302,4.9,4.88,4.92,4.94,4.92,4.91,4.83
Los Altos Hills,t,Los Altos Hills,Los Altos,94022,Private room in home,Private room,2,1,1,1,24,54,84,359,172,4.74,4.82,4.73,4.94,4.93,4.89,4.77
Sunnyvale,t,San Francisco,San Francisco,95054,Entire serviced apartment,Entire home/apt,4,1,2,2,1,18,48,323,9,4.44,4.89,4.56,4.78,5,4.67,4.56
Downtown,t,San Jose,San Jose,95112,Private room in home,Private room,2,1,1,1,19,49,79,169,109,4.97,4.97,4.93,4.96,4.95,4.94,4.95
Sunnyvale,t,Sunnyvale,Sunnyvale,95086,Private room in home,Private room,1,1,1,1,18,48,78,167,158,4.94,4.94,4.99,4.98,4.98,4.96,4.9
Santa Clara,t,Santa Clara,Santa Clara,95054,Private room in home,Private room,2,1,1,1,19,37,67,339,146,4.87,4.92,4.95,4.96,4.97,4.82,4.79
Rose Garden,t,San Jose,San Jose,95126,Entire loft,Entire home/apt,2,1,1,1,18,43,73,73,483,4.87,4.9,4.86,4.92,4.96,4.97,4.8
Cupertino,f,Cupertino,Cupertino,95014,Private room in rental unit,Private room,1,1,1,1,0,0,0,0,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Edenvale,t,San Jose,San Jose,95123,Private room in condo,Private room,1,1,1,1,18,48,78,353,12,5,5,5,5,5,5,5
Sunnyvale,f,Sunnyvale,Sunnyvale,94087,Private room in home,Private room,2,1,1,1,0,0,0,0,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
West Valley,f,San Jose,San Jose,95128,Private room in rental unit,Private room,1,1,1,1,0,0,0,0,10,5,4.9,4.9,5,5,5,4.78
Coconut Grove,t,Miami,Miami,95033,Entire home,Entire home/apt,16,1,3,3,28,58,86,359,130,4.78,4.72,4.62,4.9,4.92,4.83,4.59
Mountain View,f,Mountain View,Mountain View,94040,Private room in home,Private room,1,1,1,1,0,0,0,0,21,4.89,4.89,4.84,4.89,4.84,4.95,5
Cambridge,t,Mountain View,Hawthorne,94039,Entire rental unit,Entire home/apt,5,1,2,3,24,54,84,359,24,4.71,4.67,4.88,4.54,4.25,4.83,4.46
Los Altos Hills,t,Los Altos Hills,Los Altos,94022,Private room in home,Private room,2,1,1,2,23,53,82,357,146,4.78,4.9,4.77,4.94,4.9,4.9,4.87
San Jose,t,San Jose,San Jose,95125,Private room in townhouse,Private room,2,1,1,1,30,60,90,365,13,5,5,5,5,4.92,5,4.92
Palo Alto,t,Palo Alto,Palo Alto,94306,Entire guest suite,Entire home/apt,2,1,1,1,0,12,25,25,95,4.94,4.95,4.99,4.98,4.97,4.91,4.83
Los Gatos,t,Los Gatos,Los Gatos,95030,Private room in home,Private room,2,1,1,1,0,23,52,52,73,4.79,4.84,4.82,4.93,4.9,4.94,4.83
Central San Jose,t,San Jose,San Jose,95112,Private room in home,Private room,2,1,1,2,0,0,0,44,157,4.89,4.93,4.92,4.92,4.94,4.8,4.84
North San Jose,t,San Jose,San Jose,95134,Private room in rental unit,Private room,2,1,1,1,0,0,0,0,4,4,4.5,4.75,4.75,5,5,4.25
Cambrian/Pioneer,t,San Jose,California,95124,Private room in home,Private room,2,1,1,1,0,0,0,0,10,4.7,4.6,4.5,5,4.9,4.6,4.7
Palo Alto,t,Palo Alto,Palo Alto,94306,Entire guesthouse,Entire home/apt,2,1,1,1,0,0,0,0,36,4.91,4.97,4.91,4.97,5,4.94,4.91
Mountain View,t,Mountain View,Mountain View,94041,Private room in home,Private room,2,1,1,1,0,0,1,276,67,4.82,4.86,4.88,4.98,5,4.92,4.71
Gilroy,t,Gilroy,Gilroy,95020,Private room in guest suite,Private room,1,1,1,1,30,60,90,364,33,5,5,4.97,5,5,4.94,4.88
Palo Alto,t,Palo Alto,Palo Alto,94301,Entire home,Entire home/apt,2,1,2,2,3,3,3,3,70,5,5,4.94,5,5,4.99,5
Palo Alto,t,Palo Alto,Palo Alto,94303,Entire guesthouse,Entire home/apt,2,1,1,1,0,0,0,0,161,4.78,4.88,4.94,4.96,4.98,4.8,4.78
West Valley,t,San Jose,West Valley,95128,Entire loft,Entire home/apt,8,1,3,6,18,48,67,324,167,4.9,4.92,4.9,4.95,4.92,4.96,4.81
Cupertino,t,Cupertino,Cupertino,95014,Entire guesthouse,Entire home/apt,2,1,1,1,0,0,0,80,60,4.93,4.98,4.93,5,5,4.98,4.92
Willow Glen,t,San Jose,San Jose,95124,Private room in home,Private room,1,1,1,1,21,51,81,170,15,5,5,5,5,5,5,5
Berryessa,t,San Jose,San Jose,93133,Entire rental unit,Entire home/apt,7,1,2,3,24,50,80,243,68,4.96,4.93,4.97,4.99,4.99,4.9,4.9
Downtown,t,San Jose,San Jose,95112,Entire guesthouse,Entire home/apt,2,1,1,1,0,1,1,163,60,4.8,4.92,4.93,5,4.97,4.8,4.69
Mountain View,f,Mountain View,Mountain View,94043,Entire home,Entire home/apt,2,1,1,1,0,0,13,288,237,4.93,4.98,4.97,4.98,4.98,4.93,4.91
West Valley,t,San Jose,San Jose,95129,Private room in guest suite,Private room,2,1,1,1,0,0,0,0,216,4.93,4.99,5,4.99,4.99,4.96,4.91
Central San Jose,t,San Jose,San Jose,95110,Private room in home,Private room,1,1,1,1,1,1,1,41,66,4.8,4.86,4.71,4.89,4.92,4.74,4.86
Edenvale,t,Edenvale,Edenvale,95136,Private room in home,Private room,1,1,1,1,30,60,90,365,14,4.85,5,4.85,4.92,5,4.92,4.92
Palo Alto,t,Palo Alto,Palo Alto,94036,Private room in home,Private room,2,1,1,1,0,0,0,0,175,4.66,4.78,4.59,4.85,4.85,4.91,4.62
Willow Glen,t,San Jose,San Jose,95125,Private room in home,Private room,1,1,1,1,24,54,84,173,48,4.98,4.98,5,4.98,5,4.98,4.94
Palo Alto,t,Palo Alto,Palo Alto,94303,Entire guest suite,Entire home/apt,3,1,1,2,5,30,59,59,200,4.95,4.97,4.98,5,4.99,4.91,4.84
Alum Rock,t,San Jose,San Jose,95127,Private room in home,Private room,2,1,1,1,0,0,0,0,15,4.71,4.86,4.93,4.93,4.93,4.93,4.86
Merritt,t,Mountain View,Richmond,94041,Entire rental unit,Entire home/apt,3,1,1,3,17,47,77,352,37,4.57,4.59,4.49,4.73,4.84,4.86,4.51
Shasta/Hanchett Park,t,San Jose,San Jose,95126,Private room in home,Private room,2,1,1,1,0,0,0,0,78,4.96,4.99,5,5,5,4.95,4.96
Cupertino,t,Cupertino,Saratoga,95014,Entire guesthouse,Entire home/apt,4,1,1,1,0,0,0,261,72,4.83,4.84,4.88,4.94,4.88,4.89,4.7
Evergreen,t,San Jose,San Jose,95138,Entire guesthouse,Entire home/apt,3,1,1,2,17,47,74,349,94,4.93,4.99,4.94,4.98,5,4.95,4.94
Alum Rock,t,San Jose,San Jose,95132,Entire home,Entire home/apt,7,1,3,3,0,18,48,323,18,4.94,4.94,4.94,4.89,4.94,4.94,4.94
Cupertino,t,Cupertino,Cupertino,,Train,Entire home/apt,4,1,1,3,4,13,28,259,234,4.9,4.91,4.56,4.97,4.95,4.93,4.8
Cambrian/Pioneer,t,Los Gatos,Los Gatos,95124,Private room in home,Private room,1,1,1,1,0,0,18,107,1,5,5,5,5,5,5,5
Los Gatos,t,Los Gatos,Los Gatos,95030,Entire guest suite,Entire home/apt,2,1,1,1,0,16,35,121,417,4.97,4.98,4.96,5,4.99,4.98,4.94
Five Wounds/Brookwood Terrace,t,San Jose,Sunnyvale,95112,Private room in rental unit,Private room,2,1,1,1,0,0,4,279,29,4.39,4.5,4.57,4.89,4.68,4.64,4.5
Los Gatos,f,Los Gatos,Los Gatos,95032,Private room,Private room,2,1,1,1,0,0,0,0,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Temple City,t,Newark,Newark,95035,Private room in townhouse,Private room,2,1,1,1,30,60,90,179,31,4.74,4.68,4.68,4.8,4.94,4.83,4.63
West Valley,t,San Jose,Fremont,95128,Entire townhouse,Entire home/apt,4,1,1,3,19,49,79,351,95,4.94,4.98,4.84,4.97,5,5,4.83
Palo Alto,t,Palo Alto,Palo Alto,94306,Private room in home,Private room,1,1,1,1,0,8,9,98,39,5,5,5,4.97,4.95,4.87,4.87
Financial District,f,Saratoga,California,95070,Private room in home,Private room,5,1,5,5,30,60,90,365,1,5,5,5,5,5,5,5
Mountain View,t,Mountain View,Mountain View,94043,Private room in home,Private room,1,1,1,1,17,47,77,167,86,4.99,5,5,4.97,5,4.92,4.96
Mountain View,t,Mountain View,Woodside,94039,Entire guesthouse,Entire home/apt,2,1,1,1,0,13,43,284,47,4.74,4.74,4.83,4.79,4.64,4.94,4.66
Palo Alto,t,Palo Alto,Palo Alto,94303,Private room in home,Private room,2,1,1,1,0,17,46,46,46,4.87,4.85,4.8,4.96,4.89,4.89,4.78
Los Gatos,t,Los Gatos,Los Gatos,95033,Entire guest suite,Entire home/apt,1,1,1,1,0,10,40,129,26,4.96,5,5,5,5,4.92,4.92
Edenvale,t,San Jose,San Jose,95123,Private room in home,Private room,1,1,1,1,3,33,62,62,16,4.81,4.93,4.73,4.87,4.87,4.8,4.8
Santa Cruz,t,San Jose,Santa Clara,95125,Entire home,Entire home/apt,3,1,1,2,0,30,60,335,43,4.77,4.91,4.74,4.88,4.95,4.9,4.52
Berryessa,t,San Jose,San Jose,95131,Private room in townhouse,Private room,2,1,1,1,13,43,73,347,76,4.72,4.85,4.62,4.93,4.91,4.92,4.81
Evergreen,t,San Jose,San Jose,95135,Entire guest suite,Entire home/apt,1,1,1,1,0,0,26,301,57,4.89,4.88,4.96,4.93,4.93,4.77,4.8
West Valley,t,San Jose,Santa Clara,95128,Entire loft,Entire home/apt,5,1,2,3,16,24,24,24,104,4.89,4.96,4.76,4.96,4.98,4.99,4.81
Los Altos Hills,t,Los Altos Hills,Los Altos,94022,Private room in home,Private room,2,1,1,2,18,48,78,353,138,4.78,4.93,4.74,4.94,4.94,4.92,4.86
Shasta/Hanchett Park,t,San Jose,San Jose,95126,Entire home,Entire home/apt,2,1,1,1,15,32,59,312,172,5,4.99,5,4.99,4.99,4.98,4.95
Palo Alto,t,Palo Alto,Palo Alto,94301,Private room in home,Private room,2,1,1,1,0,2,2,262,25,5,5,5,5,5,5,4.96
Palo Alto,t,Palo Alto,Palo Alto,94036,Private room in home,Private room,2,1,1,1,0,0,0,0,185,4.56,4.69,4.6,4.9,4.83,4.88,4.58
Berryessa,t,San Jose,San Jose,95131,Private room in townhouse,Private room,2,1,1,1,0,12,42,313,115,4.5,4.63,4.41,4.76,4.67,4.81,4.58
Sunnyvale,t,Sunnyvale,Sunnyvale,94087,Entire guesthouse,Entire home/apt,2,1,1,1,0,12,30,305,205,4.92,4.95,4.96,4.96,4.95,4.86,4.84
Santa Clara,t,Santa Clara,Santa Clara,95054,Private room in home,Private room,2,1,1,1,19,33,33,114,10,5,5,4.8,5,5,4.9,4.9
South San Jose,t,San Jose,United States,95111,Private room in home,Private room,1,1,1,1,27,57,87,362,5,5,5,5,5,5,4.8,5
Campbell,t,Campbell,Campbell,95008,Entire guesthouse,Entire home/apt,4,1,1,4,8,29,51,326,92,4.73,4.83,4.77,4.93,4.85,4.9,4.75
West Valley,t,San Jose,San Jose,95129,Private room in home,Private room,2,1,1,1,30,60,89,89,13,5,5,4.92,5,5,4.92,5
West Valley,t,San Francisco,San Francisco,95051,Private room in townhouse,Private room,1,1,1,1,30,60,90,365,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Los Altos,t,Los Altos,Los Altos,94022,Private room in home,Private room,2,1,1,1,0,0,0,261,6,5,5,5,5,5,5,5
Merritt,t,Mountain View,Richmond,94041,Entire rental unit,Entire home/apt,3,1,1,2,28,58,88,363,19,4.53,4.42,4.37,4.84,4.74,4.63,4.32
Palo Alto,t,Palo Alto,Los Angeles,94301,Entire home,Entire home/apt,7,1,4,4,26,54,77,167,58,4.67,4.71,4.66,4.88,4.86,4.89,4.55
San Jose,t,San Jose,San Jose,95124,Private room in home,Private room,2,1,1,1,0,24,54,143,1,0,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Los Altos,t,Los Altos,Los Altos,94022,Private room in guest suite,Private room,2,1,1,1,26,56,86,360,70,4.94,5,4.99,4.99,4.97,4.94,4.84
Mountain View,t,Mountain View,Mountain View,94043,Private room in townhouse,Private room,1,1,1,1,0,0,0,149,7,4.57,4.86,4.43,4.86,4.71,5,4.14
Palo Alto,t,Palo Alto,Palo Alto,94301,Entire rental unit,Entire home/apt,4,1,2,2,0,0,0,0,6,5,5,5,5,5,5,5
West Valley,t,San Jose,West Valley,95128,Entire condo,Entire home/apt,4,1,2,2,26,56,86,356,162,4.94,4.91,4.96,4.91,4.93,4.99,4.81
Edenvale,f,San Jose,San Jose,95119,Private room in home,Private room,2,1,1,1,0,17,47,321,109,4.85,4.92,4.92,4.93,4.89,4.87,4.76
Palo Alto,t,Palo Alto,Palo Alto,94043,Private room in home,Private room,1,1,1,1,0,0,8,283,29,4.86,4.79,4.76,4.79,4.83,4.86,4.79
Berryessa,t,United States,United States,95014,Entire home,Entire home/apt,10,1,5,7,0,0,0,267,63,4.87,4.9,4.9,4.95,4.86,4.97,4.71
Saratoga,f,Saratoga,Saratoga,95070,Private room in home,Private room,2,1,1,1,20,45,75,164,443,4.85,4.91,4.85,4.93,4.87,4.96,4.89
Palo Alto,t,Los Angeles,Los Angeles,94036,Entire home,Entire home/apt,6,1,4,4,26,53,83,263,4,4,4.25,3.5,4.5,4.25,4.75,4.25
Campbell,t,San Jose,Campbell,95125,Entire condo,Entire home/apt,4,1,2,2,0,0,0,75,28,4.96,4.96,4.89,4.96,4.96,4.96,4.89
Sunnyvale,t,San Francisco,San Francisco,95136,Entire townhouse,Entire home/apt,6,1,3,3,0,10,40,315,12,4.67,4.83,4.67,5,5,5,4.42
Burbank/Del Monte,t,San Jose,California,95128,Entire home,Entire home/apt,6,1,3,3,0,0,0,0,20,4.63,4.63,4.58,4.84,4.89,4.79,4.58
Sunnyvale,t,San Francisco,San Francisco,95133,Entire townhouse,Entire home/apt,4,1,2,2,0,0,0,253,8,5,5,4.88,5,5,4.75,4.75
Santa Clara,t,Santa Clara,Santa Clara,95051,Entire guesthouse,Entire home/apt,2,1,1,1,5,23,53,143,50,4.64,4.76,4.74,4.98,4.86,4.86,4.46
San Jose,f,"San Jose, California, US",San Jose,95132,Private room in home,Private room,1,1,1,1,30,60,89,89,8,4.75,4.75,4.63,4.86,4.63,4.71,4.43
Palo Alto,t,Palo Alto,Palo Alto,94036,Entire bungalow,Entire home/apt,4,1,2,2,22,46,51,321,131,4.93,4.94,4.92,4.96,4.94,4.94,4.75
Berryessa,t,San Jose,San Jose,95132,Private room in home,Private room,4,1,1,1,13,43,73,163,163,4.9,4.95,4.93,4.99,4.99,4.91,4.86
Santa Clara,f,Santa Clara,Santa Clara,95051,Private room in home,Private room,2,1,1,1,0,0,0,261,14,4.86,4.93,4.86,4.86,4.79,4.93,4.93
Berryessa,t,San Jose,San Jose,95132,Private room in home,Private room,2,1,1,1,8,27,57,195,153,4.97,4.98,4.97,4.99,4.97,4.91,4.96
Los Gatos,t,Los Gatos,Los Gatos,95033,Entire cabin,Entire home/apt,4,1,1,3,3,7,27,270,619,4.99,4.99,4.99,5,5,4.98,4.94
Edenvale,t,San Jose,San Jose,95119,Private room in home,Private room,2,1,1,1,16,17,17,17,97,4.92,4.99,4.93,4.99,4.99,4.88,4.93
Alum Rock,t,San Jose,San Jose,95127,Private room in guesthouse,Private room,2,1,1,1,30,60,90,365,45,4.56,4.6,4.51,4.87,4.8,4.42,4.49
Downtown,t,San Jose,Providence,95112,Entire home,Entire home/apt,2,1,1,1,0,0,0,0,21,4.81,4.95,4.57,5,4.95,4.8,4.9
West Valley,t,San Jose,San Jose,95130,Private room in home,Private room,2,1,1,1,0,0,0,0,40,4.78,4.85,4.78,4.79,4.92,4.92,4.79
Edenvale,t,San Jose,San Jose,95119,Private room in home,Private room,2,1,1,1,7,7,7,7,87,4.9,4.99,4.82,4.98,4.98,4.87,4.9
Pismo Heights,t,Morgan Hill,Los Gatos,95037,Entire cottage,Entire home/apt,4,1,1,2,22,48,75,344,184,4.95,4.93,4.89,4.96,4.97,4.93,4.91
Berryessa,t,San Jose,San Jose,95132,Private room in home,Private room,4,1,1,1,11,41,71,161,113,4.92,4.96,4.85,4.94,4.96,4.91,4.77
Palo Alto,t,Palo Alto,Palo Alto,94301,Entire rental unit,Entire home/apt,5,1,2,3,0,0,0,261,64,4.73,4.87,4.73,5,5,5,4.59
Mountain View,t,Mountain View,California,94040,Entire guest suite,Entire home/apt,4,1,2,3,7,13,42,132,229,4.9,4.93,4.93,4.98,4.97,4.92,4.87
Santa Clara,t,Jeddah,Jeddah,95050,Private room in rental unit,Private room,1,1,3,4,30,60,90,365,2,1,1,1,1,1,1,1
Palo Alto,t,Palo Alto,Palo Alto,94306,Entire guest suite,Entire home/apt,2,1,1,1,16,26,36,200,48,4.96,4.98,4.92,4.96,4.96,4.96,4.88
Los Gatos,t,Monte Sereno,Los Gatos,95030,Entire guesthouse,Entire home/apt,4,1,1,2,1,19,23,193,161,4.9,4.94,4.95,4.98,4.96,4.99,4.88
