host_neighbourhood,host_identity_verified,neighbourhood,city,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,security_deposit,cleaning_fee,guests_included,extra_people,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy
Naglee Park,t,San Jose,San Jose,95112,Private room in home,Private room,1,1,1,1,Real Bed,718.1781305,100,24,1,22,26,56,86,86,13,95.4,9.24,8.76,9.84,9.54,9.54,9.54,moderate
Berryessa,t,San Jose,United States,95131,Private room in home,Private room,1,1,1,1,Real Bed,718.1781305,100,25,1,0,0,0,0,0,21,93.4,9.72,8.96,9.9,9.9,9.72,9.62,moderate
Palo Alto,t,Palo Alto,Palo Alto,94306,Shared room in rental unit,Shared room,1,1,1,1,Real Bed,718.1781305,100,12,2,30,0,0,0,0,6,100,9.66,9,10,10,10,10,strict
Palo Alto,t,Palo Alto,Palo Alto,94306,Private room in villa,Private room,1,1,1,1,Real Bed,718.1781305,100,50,2,20,5,5,5,233,50,94.8,9.36,9.36,9.76,9.76,9.92,9.6,strict
Cambridge,t,Mountain View,New York,94040,Entire serviced apartment,Entire home/apt,3,1,1,2,Real Bed,718.1781305,500,150,1,0,29,59,89,364,0,94.47391218,9.586622384,9.451392914,9.734233944,9.665780998,9.627646466,9.363877592,moderate
Sunnyvale,t,Sunnyvale,United States,94087,Entire guest suite,Entire home/apt,2,1,1,1,Real Bed,718.1781305,100,50,1,0,25,55,85,174,60,97.6,10,9.94,9.96,9.9,9.94,9.64,flexible
Waianae Coast,t,Los Gatos,Los Gatos,95033,Entire villa,Entire home/apt,8,1,4,4,Real Bed,718.1781305,100,20,1,20,14,44,74,253,4,95,9.5,9.5,10,10,10,10,flexible
Sunnyvale,t,San Jose,Sunnyvale,95128,Entire bungalow,Entire home/apt,6,1,2,3,Real Bed,718.1781305,100,45,1,0,24,52,82,348,107,95.6,9.72,9.7,9.88,9.8,9.6,9.68,flexible
Mountain View,t,Mountain View,Mountain View,94043,Private room in home,Private room,2,1,1,1,Real Bed,718.1781305,100,50,1,0,25,55,85,85,189,97.4,9.84,9.52,9.9,9.94,9.82,9.72,moderate
Berryessa,f,California,California,95132,Private room in home,Private room,2,1,1,2,Real Bed,718.1781305,100,25,1,30,19,46,58,58,103,89.8,9.26,8.56,9.68,9.68,9.44,9.12,strict
Sunnyvale,t,San Francisco,San Francisco,94043,Entire serviced apartment,Entire home/apt,2,1,1,1,Real Bed,718.1781305,100,50,1,0,30,60,90,365,5,96,10,9.2,10,10,10,8.8,moderate
Downtown North,t,Philadelphia,Philadelphia,94301,Private room in condo,Private room,1,1,1,1,Real Bed,718.1781305,100,15,1,0,0,0,0,0,0,94.47391218,9.586622384,9.451392914,9.734233944,9.665780998,9.627646466,9.363877592,strict
Kailua/Kona,t,Santa Clara,Santa Clara,95051,Entire home,Entire home/apt,6,1,3,3,Real Bed,718.1781305,200,59,2,25,0,21,51,326,8,92.6,9.5,8.5,9.76,10,9.5,9.76,strict
Berryessa,f,San Jose,California,95131,Private room in home,Private room,1,1,1,2,Real Bed,718.1781305,100,50,1,0,30,59,88,88,47,85.2,8.8,8.26,9.36,9.36,9.36,8.42,moderate
Berryessa,f,California,California,95131,Private room in home,Private room,2,1,1,2,Real Bed,718.1781305,100,50,1,0,7,36,65,65,82,90,9.54,8.86,9.78,9.88,9.5,9.12,flexible
San Jose,t,San Jose,San Jose,95136,Private room in home,Private room,1,1,1,1,Airbed,718.1781305,100,35,1,0,0,4,34,168,8,100,9.72,9.14,10,9.72,10,9.72,moderate
Cupertino,t,Saratoga,Cupertino,95130,Private room in guest suite,Private room,2,1,1,1,Real Bed,718.1781305,100,50,2,20,25,55,81,355,55,99.2,9.96,9.86,9.96,10,9.82,9.86,flexible
West Valley,t,West Valley,West Valley,95117,Private room in rental unit,Private room,1,1,1,1,Real Bed,718.1781305,100,20,1,0,0,0,0,79,15,97.4,9.74,9.86,9.74,9.86,9.74,9.74,flexible
Alum Rock,t,San Jose,San Jose,95127,Private room in home,Private room,2,1,1,1,Real Bed,718.1781305,100,40,1,0,30,60,87,360,15,93.4,9.6,9.34,10,9.86,8.94,9.06,flexible
Alum Rock,t,San Jose,San Jose,95127,Private room in home,Private room,2,1,1,1,Real Bed,718.1781305,200,35,1,10,30,60,90,365,37,96.8,9.9,9.52,9.88,9.9,9.72,9.62,strict
Mountain View,t,Mountain View,San Francisco,94041,Private room in townhouse,Private room,1,1,1,1,Real Bed,718.1781305,100,5,1,0,0,0,0,179,29,98.6,9.86,9.18,9.8,9.94,9.72,9.44,flexible
San Jose,t,San Jose,San Jose,95129,Private room in home,Private room,2,1,1,1,Real Bed,718.1781305,100,50,1,0,13,36,65,65,33,95.8,9.76,9.46,10,9.76,9.82,9.52,flexible
Central San Jose,t,San Jose,San Jose,95112,Entire home,Entire home/apt,6,1,3,5,Real Bed,718.1781305,100,50,1,0,4,24,41,204,77,99.4,10,9.94,9.98,10,9.28,9.9,flexible
Palo Alto,t,Palo Alto,Palo Alto,94306,Entire guesthouse,Entire home/apt,4,1,2,2,Real Bed,718.1781305,100,20,1,0,17,40,69,69,62,97,9.7,9.36,9.96,9.84,9.88,9.42,flexible
Sunnyvale,t,Sunnyvale,Sunnyvale,94086,Entire home,Entire home/apt,6,1,2,3,Real Bed,718.1781305,100,50,1,0,7,37,67,246,121,96.6,9.76,9.8,9.76,9.66,9.68,9.4,flexible
Mountain View,t,Mountain View,San Francisco,94041,Private room in townhouse,Private room,1,1,1,1,Real Bed,718.1781305,100,50,1,0,18,48,78,258,25,100,9.84,9.76,9.92,10,9.6,9.68,flexible
Mountain View,t,Mountain View,Mountain View,94041,Private room in home,Private room,2,1,1,1,Real Bed,718.1781305,100,50,3,30,0,0,28,118,92,96.8,9.8,9.54,9.8,9.8,9.96,9.66,strict
Westside,t,Palo Alto,San Diego,94301,Entire home,Entire home/apt,10,1,3,5,Real Bed,718.1781305,100,80,4,20,0,4,4,4,42,96.6,9.42,9.76,9.96,9.62,9.96,9.04,strict
Cupertino,t,Cupertino,Cupertino,95014,Private room in home,Private room,1,1,1,1,Real Bed,718.1781305,100,50,1,0,30,60,90,104,1,100,10,8,10,10,10,10,flexible
Sunnyvale,t,Palo Alto,Palo Alto,94085,Entire townhouse,Entire home/apt,3,1,1,2,Real Bed,718.1781305,200,75,1,20,4,17,17,17,43,98.2,9.82,9.96,9.9,9.96,9.72,9.72,strict
Alum Rock,t,San Jose,San Jose,95127,Entire guesthouse,Entire home/apt,1,1,1,1,Real Bed,718.1781305,100,50,1,0,0,0,0,0,127,99,9.96,9.88,9.92,9.94,9.7,9.76,moderate
Campbell,t,Campbell,Campbell,95008,Entire guesthouse,Entire home/apt,2,1,1,1,Real Bed,718.1781305,1000,120,2,50,5,31,61,146,209,99.8,10,9.94,10,10,9.98,9.88,strict
Santa Clara,t,Santa Clara,Santa Clara,95050,Private room in bungalow,Private room,1,1,1,1,Real Bed,718.1781305,100,15,1,0,0,0,21,21,140,94.2,9.66,9.42,9.78,9.78,9.82,9.64,flexible
Los Altos,t,Los Altos,San Francisco,94024,Private room in bungalow,Private room,3,1,1,2,Real Bed,718.1781305,100,45,2,65,0,0,0,0,27,100,10,9.92,10,10,9.92,9.5,flexible
Los Altos,t,Los Altos,San Francisco,94024,Entire bungalow,Entire home/apt,8,1,3,5,Real Bed,718.1781305,100,50,1,25,0,0,0,0,37,98.4,9.9,10,9.9,9.94,9.94,9.52,flexible
Berryessa,t,San Jose,San Jose,95131,Private room in rental unit,Private room,1,1,1,1,Real Bed,718.1781305,500,100,1,0,30,60,90,364,1,100,10,10,10,10,8,10,flexible
Berryessa,t,San Jose,San Jose,95131,Private room in condo,Private room,1,1,1,1,Real Bed,718.1781305,100,12,1,15,0,0,0,260,1,100,10,10,10,10,10,10,strict
Evergreen,t,San Jose,San Jose,95121,Private room in home,Private room,6,1,3,4,Real Bed,718.1781305,100,50,1,0,19,44,61,293,11,100,10,10,10,10,10,9.82,flexible
Berryessa,t,San Jose,San Jose,95131,Private room in condo,Private room,2,1,1,2,Real Bed,718.1781305,100,50,1,0,30,60,90,364,1,100,10,10,10,10,10,10,flexible
Berryessa,t,San Jose,San Jose,95131,Private room in condo,Private room,1,1,1,1,Real Bed,718.1781305,100,60,1,10,30,60,90,364,3,100,10,10,10,10,9.34,9.34,strict
Berryessa,t,San Jose,San Jose,95131,Private room in condo,Private room,2,1,1,1,Real Bed,718.1781305,100,5,1,10,0,0,0,260,0,94.47391218,9.586622384,9.451392914,9.734233944,9.665780998,9.627646466,9.363877592,strict
Berryessa,t,San Jose,San Jose,95131,Private room in condo,Private room,1,1,1,1,Real Bed,718.1781305,100,15,4,30,0,0,0,260,1,100,10,10,10,10,10,10,strict
Evergreen,t,San Jose,San Jose,95121,Private room in townhouse,Private room,2,1,1,1,Real Bed,718.1781305,100,8,1,15,29,59,84,359,156,96.2,9.74,9.84,9.84,9.84,9.48,9.76,strict
Palo Alto,t,Palo Alto,Portland,94306,Private room in rental unit,Private room,1,1,1,1,Real Bed,718.1781305,100,10,1,50,0,0,13,13,51,99.6,10,10,9.96,9.92,9.96,9.96,flexible
Alum Rock,t,San Jose,San Jose,95127,Private room in home,Private room,2,1,1,1,Real Bed,718.1781305,500,50,4,10,30,60,90,365,92,94.2,9.7,9.36,9.86,9.76,9.42,9.46,strict
Downtown,t,San Jose,San Francisco,95112,Entire rental unit,Entire home/apt,6,1,2,3,Real Bed,718.1781305,100,50,1,0,23,53,83,358,26,96.2,9.76,9.7,9.84,9.76,9.62,9.38,flexible
New South Wales,t,Los Gatos,New South Wales,95033,Entire home,Entire home/apt,5,1,2,3,Real Bed,718.1781305,100,50,2,0,3,9,31,110,152,97.8,9.84,9.8,9.96,9.92,9.66,9.58,flexible
San Jose,f,San Jose,San Jose,95120,Private room in home,Private room,1,1,1,1,Real Bed,718.1781305,100,30,1,0,30,60,90,365,10,96,9.6,9.6,9.8,9.6,9.6,9,flexible
Los Altos Hills,t,Los Altos,Los Altos Hills,94024,Private room in home,Private room,3,1,2,3,Real Bed,718.1781305,100,25,2,15,28,58,88,177,4,100,9,9,10,10,10,10,moderate
Evergreen,t,San Jose,San Jose,95121,Private room in home,Private room,7,1,4,6,Real Bed,718.1781305,325,60,1,12,0,0,0,0,2,100,10,9,10,10,10,10,strict
Palo Alto,f,Palo Alto,Palo Alto,94301,Entire rental unit,Entire home/apt,2,1,1,1,Real Bed,718.1781305,100,30,1,30,0,0,0,275,21,86.6,8.76,8.58,9.04,8.76,9.9,8.66,strict
San Jose,f,San Jose,San Jose,94036,Entire guest suite,Entire home/apt,4,1,1,1,Real Bed,718.1781305,100,35,1,0,0,0,0,0,0,94.47391218,9.586622384,9.451392914,9.734233944,9.665780998,9.627646466,9.363877592,strict
Santa Clara,f,Santa Clara,Santa Clara,95054,Entire home,Entire home/apt,10,1,3,7,Real Bed,718.1781305,100,200,4,25,16,46,70,344,53,98.2,9.96,9.92,10,10,9.96,9.62,strict
Palo Alto,t,Palo Alto,Palo Alto,94301,Private room in home,Private room,1,1,1,1,Real Bed,718.1781305,100,20,2,125,26,54,84,84,129,99.6,9.96,9.96,9.98,9.96,9.94,9.66,flexible
Berryessa,t,United States,United States,95129,Entire home,Entire home/apt,9,1,4,6,Real Bed,718.1781305,200,10,2,20,6,33,51,326,82,98,9.8,9.7,9.88,9.82,9.82,9.46,strict
San Jose,t,San Jose,San Jose,95128,Entire guesthouse,Entire home/apt,1,1,1,1,Real Bed,718.1781305,100,50,1,0,0,0,0,50,61,99,9.96,9.86,10,10,9.8,9.8,flexible
Santa Clara,f,Palo Alto,Palo Alto,95051,Private room in home,Private room,2,1,1,1,Real Bed,718.1781305,100,50,1,0,30,60,90,270,4,90,7,8,9,9,9,8.5,flexible
Naglee Park,t,San Jose,San Jose,95112,Private room in home,Private room,1,1,1,1,Real Bed,718.1781305,500,148,1,15,25,55,85,174,179,99.8,9.98,10,9.94,9.92,9.98,9.92,strict
Sunnyvale,t,San Francisco,San Francisco,94306,Entire townhouse,Entire home/apt,6,1,3,3,Real Bed,718.1781305,200,30,1,25,0,4,34,309,13,93.8,9.38,9.54,9.84,9.7,9.08,9.08,strict
Burbank/Del Monte,t,San Jose,San Jose,95126,Entire townhouse,Entire home/apt,6,1,3,4,Real Bed,718.1781305,700,150,6,25,30,60,90,364,28,98.6,9.92,9.92,9.78,9.64,9.72,9.42,strict
Alum Rock,t,San Jose,San Jose,95127,Private room in home,Private room,4,1,1,2,Real Bed,718.1781305,100,10,1,0,30,60,90,365,35,89.8,9.26,8.86,9.32,8.8,9.48,9.08,flexible
Sunnyvale,t,San Francisco,San Francisco,95051,Entire townhouse,Entire home/apt,6,1,3,3,Real Bed,718.1781305,100,10,1,0,0,8,38,313,5,100,10,10,10,10,10,9.2,strict
Downtown,t,San Jose,Washington,95112,Entire rental unit,Entire home/apt,2,1,1,2,Real Bed,718.1781305,100,50,1,0,0,30,60,74,125,94.6,9.58,9.68,9.9,9.7,9.58,9.58,flexible
Sunnyvale,t,Sunnyvale,Sunnyvale,94085,Private room in home,Private room,1,1,1,1,Real Bed,718.1781305,800,188,1,15,0,0,0,0,9,84.4,8.66,8.66,10,9.34,9.34,8.66,strict
Alum Rock,t,San Jose,San Jose,95127,Private room in home,Private room,2,1,1,1,Real Bed,900,300,100,2,10,0,17,47,322,27,88.2,9.18,8.6,9.7,9.56,9.4,8.96,strict
Mountain View,t,Mountain View,Mountain View,94040,Entire guest suite,Entire home/apt,2,1,1,1,Real Bed,718.1781305,150,15,1,12,0,0,0,202,15,97.2,9.86,9.86,10,10,9.86,9.28,strict
West Valley,f,San Jose,San Jose,95129,Private room in rental unit,Private room,1,1,1,1,Real Bed,718.1781305,100,10,1,0,30,60,90,344,14,91.4,9.14,9.14,10,9.86,9.28,9.28,strict
Berryessa,t,San Jose,San Jose,95131,Entire condo,Entire home/apt,4,1,3,4,Real Bed,718.1781305,100,10,1,0,30,60,90,364,1,100,10,10,10,10,10,10,strict
Palo Alto,f,Palo Alto,Palo Alto,94301,Entire bungalow,Entire home/apt,10,1,4,6,Real Bed,718.1781305,100,10,2,0,26,53,74,160,108,99.6,10,9.82,10,10,9.96,9.44,moderate
Berryessa,t,San Jose,San Jose,95131,Entire condo,Entire home/apt,4,1,3,4,Real Bed,718.1781305,100,50,1,0,30,60,90,364,0,94.47391218,9.586622384,9.451392914,9.734233944,9.665780998,9.627646466,9.363877592,flexible
Lancaster,t,Lancaster,Lancaster,95037,Entire condo,Entire home/apt,5,1,2,3,Real Bed,718.1781305,100,10,1,0,16,46,76,350,26,95.4,9.7,9.08,9.84,9.76,9.62,9.38,strict
Cambridge,t,Mountain View,Hawthorne,94040,Entire serviced apartment,Entire home/apt,5,1,2,3,Real Bed,718.1781305,100,50,1,0,24,54,84,359,16,87.6,9.62,9.5,7.38,8,9.12,8.5,flexible
Edenvale,t,San Jose,San Jose,95119,Private room in home,Private room,2,1,1,1,Real Bed,718.1781305,100,50,1,0,0,0,0,0,105,97,9.82,9.6,9.88,9.96,9.8,9.66,flexible
Evergreen,t,San Jose,San Jose,95121,Private room in home,Private room,2,1,1,2,Real Bed,718.1781305,100,50,2,30,23,48,65,294,57,99,9.86,9.96,10,9.96,9.9,9.86,strict
Evergreen,t,San Jose,San Jose,95121,Private room in home,Private room,4,1,2,2,Real Bed,718.1781305,100,20,1,10,19,44,61,130,28,100,10,10,10,10,10,10,flexible
Cupertino,f,Cupertino,Cupertino,95014,Private room in home,Private room,1,1,1,1,Real Bed,718.1781305,500,50,5,25,30,60,90,365,8,85,8.76,9.5,9.76,9.76,10,9.26,flexible
Palo Alto,t,Palo Alto,Palo Alto,94301,Entire guest suite,Entire home/apt,2,1,1,1,Real Bed,718.1781305,100,5,1,10,5,5,5,5,257,97.6,9.78,9.86,9.92,9.92,9.94,9.14,flexible
Central San Jose,f,San Jose,California,95112,Private room in home,Private room,2,1,1,2,Real Bed,718.1781305,250,45,2,35,0,0,0,0,27,91.2,9.48,9.56,9.92,9.62,9.62,9.62,strict
Sunnyvale,f,Sunnyvale,Los Altos,95086,Entire condo,Entire home/apt,4,1,2,3,Real Bed,718.1781305,100,50,1,0,7,7,25,204,64,98.4,9.94,10,9.84,9.94,9.82,9.6,flexible
Santa Clara,t,Santa Clara,Santa Clara,95054,Private room in home,Private room,2,1,1,2,Real Bed,718.1781305,100,10,1,10,30,60,90,365,27,95.6,9.78,9.26,9.92,9.86,9.7,9.26,flexible
Sunnyvale,t,Sunnyvale,Sunnyvale,94087,Private room in home,Private room,1,1,1,1,Real Bed,718.1781305,100,50,1,0,0,0,0,246,6,100,10,9.34,10,10,10,9.66,flexible
Sunnyvale,t,San Francisco,San Francisco,95051,Entire serviced apartment,Entire home/apt,2,1,1,1,Real Bed,718.1781305,100,10,1,0,0,0,6,281,3,86.6,8,9.34,8.66,8.66,9.34,8.66,strict
Palo Alto,t,Palo Alto,Palo Alto,94306,Private room in home,Private room,2,1,1,1,Real Bed,718.1781305,1000,75,2,50,24,47,77,77,95,99.6,9.94,10,9.94,10,9.94,9.86,strict
Encino,t,Los Altos,San Francisco,94022,Entire home,Entire home/apt,11,1,5,6,Real Bed,718.1781305,100,10,1,8,29,59,89,174,16,87.2,9,9,9.42,9,9.28,8.86,flexible
Sunnyvale,t,San Francisco,San Francisco,94306,Entire serviced apartment,Entire home/apt,6,1,3,3,Real Bed,718.1781305,100,50,1,20,14,44,74,349,6,100,10,9.66,10,10,10,9.34,moderate
Downtown,t,San Jose,San Jose,95113,Entire rental unit,Entire home/apt,2,1,1,1,Real Bed,718.1781305,100,50,1,0,14,26,26,101,32,96.2,9.94,9.76,10,10,9.88,9.56,flexible
Sunnyvale,t,San Francisco,San Francisco,94306,Entire serviced apartment,Entire home/apt,6,1,3,3,Real Bed,718.1781305,300,100,1,20,17,47,77,352,9,93.4,10,10,10,10,9.34,9.12,strict
Naglee Park,t,San Jose,San Jose,95112,Private room in home,Private room,1,1,1,1,Couch,718.1781305,100,50,1,0,28,58,88,178,162,99.8,9.96,10,9.98,9.96,9.96,9.92,flexible
San Martin,t,San Martin,San Martin,95125,Entire guesthouse,Entire home/apt,2,1,1,1,Real Bed,718.1781305,150,12,1,0,2,21,46,321,49,84.4,8.74,8.7,9.3,9.06,9.3,8.86,strict
San Jose,t,San Jose,San Jose,95037,Entire home,Entire home/apt,10,1,5,14,Real Bed,718.1781305,1000,200,1,0,0,0,0,134,44,97.8,9.54,9.68,9.96,9.96,9.78,9.68,flexible
Rose Garden,t,San Jose,Rose Garden,95126,Private room in home,Private room,1,1,1,1,Real Bed,718.1781305,150,30,2,15,0,0,17,292,9,97.6,9.76,9.5,9.5,10,9,9.76,strict
Sunnyvale,t,San Francisco,San Francisco,95051,Entire serviced apartment,Entire home/apt,2,1,1,1,Real Bed,718.1781305,100,25,1,0,0,0,0,188,3,100,10,10,8.66,9.34,10,8.66,flexible
Sunnyvale,t,Sunnyvale,London,95086,Entire condo,Entire home/apt,4,1,2,3,Real Bed,718.1781305,100,50,1,0,29,57,84,266,39,93.4,9.58,9.54,9.7,9.8,9.54,9.34,flexible
Cambridge,t,Mountain View,New York,94040,Entire serviced apartment,Entire home/apt,5,1,2,3,Real Bed,718.1781305,100,50,1,0,24,54,84,359,5,80,8.4,8.4,8.4,8.4,8.4,8,flexible
Sunnyvale,t,Sunnyvale,Sunnyvale,94085,Private room in townhouse,Private room,2,1,1,1,Real Bed,718.1781305,100,50,1,0,30,60,89,89,11,86,9,8.4,9.8,9,9.6,8.8,flexible
Palo Alto,t,Palo Alto,Palo Alto,94301,Entire home,Entire home/apt,2,1,1,1,Real Bed,718.1781305,250,150,3,50,30,60,89,89,38,96.8,9.84,9.9,10,9.94,9.9,9.48,strict
Shasta/Hanchett Park,t,San Jose,San Jose,95126,Entire home,Entire home/apt,2,1,1,1,Real Bed,718.1781305,100,50,1,0,0,0,0,0,53,100,10,10,10,10,10,10,flexible
Naglee Park,t,San Jose,San Jose,95112,Entire guesthouse,Entire home/apt,2,1,1,1,Real Bed,718.1781305,100,60,1,0,14,44,54,143,62,100,10,10,10,9.96,9.94,9.88,moderate
Downtown,t,San Jose,San Jose,95113,Entire rental unit,Entire home/apt,2,1,1,1,Real Bed,718.1781305,100,50,1,0,0,0,0,118,20,98,10,9.9,10,10,9.7,9.9,flexible
Berryessa,t,United States,United States,95150,Entire home,Entire home/apt,9,1,4,7,Real Bed,718.1781305,500,100,1,0,29,49,76,348,75,97.4,9.84,9.68,9.9,9.9,9.84,9.54,moderate
Los Gatos,t,Los Gatos,Los Gatos,95030,Entire guesthouse,Entire home/apt,3,1,1,1,Real Bed,718.1781305,100,50,1,0,24,52,82,261,168,99,9.96,9.92,9.96,9.94,9.92,9.72,flexible
Palo Alto,t,Palo Alto,Palo Alto,94301,Entire rental unit,Entire home/apt,4,1,2,2,Real Bed,718.1781305,1000,100,1,0,16,40,70,160,123,98.4,9.96,9.94,9.96,9.9,9.96,9.38,flexible
Sunnyvale,t,Sunnyvale,Sunnyvale,94087,Entire guesthouse,Entire home/apt,2,1,1,1,Real Bed,718.1781305,150,75,2,25,4,34,64,78,36,97.2,9.94,9.66,10,10,9.88,9.5,moderate
Cambrian/Pioneer,f,San Jose,San Jose,95124,Private room in home,Private room,2,1,1,1,Real Bed,718.1781305,500,85,1,0,16,39,64,64,82,98.2,9.88,9.86,9.86,9.96,9.92,9.96,flexible
Berryessa,t,United States,United States,95131,Entire townhouse,Entire home/apt,14,1,6,7,Real Bed,718.1781305,100,50,1,0,10,28,48,302,30,96.6,9.86,9.6,9.94,9.74,9.94,9.8,flexible
Downtown,t,San Jose,San Jose,95112,Entire home,Entire home/apt,8,1,4,4,Real Bed,718.1781305,100,50,1,0,0,0,0,171,4,90,9.5,9,10,10,9.5,8.5,flexible
Mountain View,t,Mountain View,Mountain View,94043,Private room in home,Private room,1,1,1,1,Real Bed,718.1781305,100,50,2,5,20,43,70,345,7,100,10,10,10,10,10,10,moderate
West Valley,t,San Jose,San Jose,95129,Private room in home,Private room,2,1,1,1,Real Bed,718.1781305,100,80,2,0,14,35,62,222,9,100,10,9.78,10,10,10,9.78,moderate
Cupertino,t,Cupertino,Cupertino,95014,Private room in home,Private room,4,1,1,1,Real Bed,718.1781305,100,100,1,50,0,0,0,0,55,98.2,9.78,9.92,9.96,9.96,9.96,9.64,flexible
Cupertino,t,Cupertino,Cupertino,95014,Private room in home,Private room,3,1,1,2,Real Bed,718.1781305,500,100,1,15,0,14,44,133,33,95.2,9.7,9.58,9.7,9.52,9.94,9.4,strict
Palo Alto,t,Palo Alto,Palo Alto,94303,Entire guest suite,Entire home/apt,2,1,1,2,Couch,718.1781305,100,50,1,0,0,0,1,152,63,98.8,9.9,9.88,9.88,9.96,9.9,9.84,strict
Campbell,t,Palo Alto,Palo Alto,94304,Entire home,Entire home/apt,2,1,1,1,Real Bed,718.1781305,200,80,1,0,14,30,60,150,171,94.6,9.7,9.62,9.64,9.7,9.9,9.34,moderate
Mountain View,t,Palo Alto,Mountain View,94306,Entire home,Entire home/apt,8,1,4,4,Real Bed,718.1781305,100,15,1,10,4,31,48,135,117,98.4,9.86,9.82,9.98,9.98,9.8,9.48,strict
Palo Alto,t,Mountain View,Mountain View,94303,Private room in home,Private room,2,1,1,1,Real Bed,718.1781305,100,125,1,0,29,59,89,178,87,97.8,9.9,9.84,9.82,9.86,9.74,9.42,moderate
Berryessa,t,United States,United States,95053,Entire rental unit,Entire home/apt,7,1,3,5,Real Bed,718.1781305,100,50,1,30,23,53,79,354,30,94.6,9.66,9.46,9.74,9.66,9.66,9.2,strict
Sunnyvale,t,Sunnyvale,Sunnyvale,94086,Entire guesthouse,Entire home/apt,2,1,1,1,Real Bed,718.1781305,100,50,1,0,0,0,0,77,91,94.2,9.82,9.62,9.84,9.72,9.64,9.38,flexible
Morgan Hill,t,Morgan Hill,Morgan Hill,95037,Entire guesthouse,Entire home/apt,4,1,1,2,Real Bed,718.1781305,100,50,1,0,14,32,59,333,216,97.4,9.84,9.86,9.78,9.5,9.82,9.46,strict
Burbank/Del Monte,t,San Jose,San Jose,95126,Entire home,Entire home/apt,6,1,4,5,Real Bed,718.1781305,100,50,1,0,17,43,73,163,233,95.6,9.66,9.44,9.88,9.76,9.46,9.46,moderate
Los Altos Hills,t,Los Altos Hills,Los Altos Hills,94022,Entire guest suite,Entire home/apt,2,1,1,1,Real Bed,718.1781305,100,100,1,0,0,17,39,39,153,97.6,9.84,9.8,9.9,9.84,9.62,9.8,moderate
West Valley,t,San Jose,Santa Clara,95128,Entire condo,Entire home/apt,5,1,2,2,Real Bed,718.1781305,375,80,1,0,17,47,68,158,284,97,9.84,9.62,9.7,9.8,9.96,9.62,flexible
Naglee Park,t,San Jose,San Jose,95112,Private room in home,Private room,1,1,1,1,Real Bed,718.1781305,100,50,1,0,0,0,0,178,12,90,8.66,8.84,9.34,9.16,9.16,9,flexible
Cambrian/Pioneer,t,San Jose,San Jose,95118,Private room in home,Private room,1,1,1,1,Real Bed,718.1781305,500,100,1,0,0,0,0,230,2,100,10,10,10,10,10,10,flexible
Sunnyvale,t,San Francisco,San Francisco,94043,Entire serviced apartment,Entire home/apt,2,1,1,1,Real Bed,718.1781305,100,50,1,0,0,3,3,129,4,80,8,10,9.5,7.5,7.5,8,flexible
Sunnyvale,t,San Francisco,San Francisco,94043,Entire serviced apartment,Entire home/apt,2,1,1,1,Real Bed,718.1781305,350,50,1,0,0,16,46,321,4,95,10,10,10,10,10,10,flexible
Morgan Hill,t,Morgan Hill,Morgan Hill,95037,Entire cottage,Entire home/apt,2,1,1,1,Real Bed,718.1781305,100,100,1,0,16,45,66,333,73,97.2,9.76,9.78,9.9,9.76,9.84,9.4,moderate
Sunnyvale,t,San Francisco,San Francisco,95126,Entire townhouse,Entire home/apt,4,1,2,2,Real Bed,718.1781305,500,100,1,0,0,0,3,278,4,100,10,9.5,10,10,10,10,strict
Palo Alto,f,Palo Alto,Palo Alto,94301,Entire rental unit,Entire home/apt,2,1,1,1,Real Bed,718.1781305,100,50,1,0,0,27,57,171,27,85.2,9.04,8.6,8.96,8.66,9.78,8.22,flexible
Cambrian/Pioneer,t,San Jose,San Jose,95125,Private room in home,Private room,1,1,1,1,Real Bed,718.1781305,300,50,1,25,7,7,7,16,9,100,10,10,10,10,10,10,strict
Mountain View,t,Mountain View,Mountain View,94043,Entire rental unit,Entire home/apt,3,1,1,1,Real Bed,718.1781305,100,50,1,0,16,30,49,125,122,99,9.92,9.86,9.92,9.96,9.86,9.74,flexible
Sunnyvale,t,Sunnyvale,Sunnyvale,94085,Entire home,Entire home/apt,4,1,3,4,Real Bed,718.1781305,200,50,1,11,29,59,89,364,49,99.2,10,10,9.88,9.84,9.78,9.44,strict
Palo Alto,t,Palo Alto,Palo Alto,94301,Entire rental unit,Entire home/apt,2,1,1,1,Real Bed,718.1781305,200,50,1,0,20,47,77,77,91,99.8,9.98,9.96,9.96,10,10,9.52,strict
Sunnyvale,t,Sunnyvale,Sunnyvale,94089,Private room in townhouse,Private room,1,1,1,1,Real Bed,718.1781305,100,99,1,0,0,1,20,39,61,98.6,10,9.96,9.96,9.96,9.96,9.94,strict
Sunnyvale,t,Sunnyvale,Redwood City,94085,Entire rental unit,Entire home/apt,3,1,1,2,Real Bed,718.1781305,100,50,1,0,21,51,79,334,87,95.8,9.8,9.86,9.86,9.9,9.48,9.24,flexible
Santa Clara,t,Santa Clara,Santa Clara,95051,Private room in home,Private room,1,1,1,1,Real Bed,718.1781305,350,50,2,0,18,48,78,78,65,98.4,9.94,9.72,9.94,9.96,9.96,9.84,flexible
